Yeshuv,Encoded_Value
אום אל-פחם,0
אור יהודה,1
אור עקיבא,2
אילת,3
אלעד,4
אריאל,5
אשקלון,6
באקה אל-גרביה,7
באר שבע,8
בית שאן,9
בית שמש,10
ביתר עילית,11
בני ברק,12
בנימינה-גבעת עדה,13
בת ים,14
ג'דיידה-מכר,15
גבעת זאב,16
גבעתיים,17
גדרה,18
דימונה,19
הוד השרון,20
הרצליה,21
זכרון יעקב,22
חדרה,23
חולון,24
חיפה,25
טבריה,26
טייבה,27
טירה,28
טירת כרמל,29
טמרה,30
יבנה,31
יהוד-מונוסון,32
ירושלים,33
כוכב יאיר,34
כפר סבא,35
כפר קאסם,36
כרמיאל,37
לוד,38
מבשרת ציון,39
מודיעין עילית,40
מודיעין-מכבים-רעות,41
מעלה אדומים,42
מעלה עירון,43
מעלות-תרשיחא,44
נהריה,45
נוף הגליל,46
נס ציונה,47
נצרת,48
נשר,49
נתניה,50
סח'נין,51
עכו,52
עפולה,53
ערד,54
ערערה-בנגב,55
פרדס חנה-כרכור,56
פתח תקווה,57
צור הדסה,58
צפת,59
קרית אונו,60
קרית אתא,61
קרית ביאליק,62
קרית גת,63
קרית טבעון,64
קרית ים,65
קרית מוצקין,66
קרית מלאכי,67
קרית שמונה,68
ראש העין,69
ראשון לציון,70
רהט,71
רחובות,72
רמלה,73
רמת גן,74
רמת השרון,75
רעננה,76
שדרות,77
שוהם,78
שפרעם,79
תל אביב יפו,80
תל שבע,81
